place,number,sex,time
709,4986,M,1:36:29
710,8362,M,1:36:30
711,2695,W,1:36:30
712,2067,M,1:36:33
713,937,M,1:36:34
714,7091,M,1:36:36
715,6800,M,1:36:37
716,8477,M,1:36:38
717,1439,M,1:36:39
718,1367,W,1:36:39
719,5943,M,1:36:40
720,996,M,1:36:40
721,520,M,1:36:40
722,6586,M,1:36:40
723,8617,M,1:36:41
724,4655,M,1:36:41
725,4843,M,1:36:42
726,5000,M,1:36:43
727,4330,M,1:36:44
728,8193,M,1:36:45
729,5758,M,1:36:45
730,4095,W,1:36:46
731,4055,M,1:36:46
732,865,M,1:36:46
733,5128,M,1:36:47
734,5525,M,1:36:47
735,6588,M,1:36:47
736,2351,M,1:36:48
737,8563,M,1:36:48
738,3998,M,1:36:48
739,6472,M,1:36:49
740,3312,M,1:36:52
741,900,M,1:36:52
742,4515,M,1:36:53
743,2790,M,1:36:54
744,2084,M,1:36:54
745,3072,M,1:36:55
746,9333,M,1:36:59
747,8136,M,1:37:00
748,1128,W,1:37:00
749,8069,M,1:37:01
750,2209,M,1:37:01
751,1163,M,1:37:02
752,1003,M,1:37:02
753,3557,M,1:37:03
754,8049,M,1:37:03
755,3334,M,1:37:04
756,5072,M,1:37:04
757,1761,M,1:37:05
758,7455,M,1:37:07
759,3271,M,1:37:07
760,2180,M,1:37:08
761,9068,M,1:37:13
762,8955,W,1:37:14
763,5872,M,1:37:14
764,3601,M,1:37:14
765,4275,W,1:37:15
766,5534,M,1:37:17
767,3788,M,1:37:17
768,7420,M,1:37:17
769,7636,M,1:37:18
770,7513,M,1:37:19
771,4739,M,1:37:21
772,9431,M,1:37:21
773,6429,M,1:37:21
774,624,M,1:37:22
775,2745,M,1:37:23
776,5659,W,1:37:24
777,4062,M,1:37:24
778,8399,M,1:37:24
779,1623,M,1:37:25
780,6716,M,1:37:27
781,1308,M,1:37:27
782,987,M,1:37:28
783,8396,M,1:37:28
784,2700,M,1:37:29
785,7099,M,1:37:29
786,7625,M,1:37:29
787,9260,M,1:37:29
788,7990,W,1:37:30
789,2805,M,1:37:31
790,9297,W,1:37:31
791,4786,M,1:37:31
792,7593,M,1:37:33
793,7674,M,1:37:33
794,812,M,1:37:33
795,4451,M,1:37:34
796,1436,M,1:37:35
797,3054,M,1:37:36
798,817,M,1:37:36
799,3037,M,1:37:37
800,1940,M,1:37:37
801,5720,M,1:37:38
802,6368,M,1:37:38
803,6585,W,1:37:39
804,1980,M,1:37:39
805,4823,M,1:37:39
806,8697,M,1:37:39
807,1801,M,1:37:39
808,9222,M,1:37:39
809,1392,M,1:37:40
810,5859,M,1:37:41
811,9173,M,1:37:43
812,9022,W,1:37:44
813,7183,M,1:37:45
814,7177,W,1:37:46
815,2060,M,1:37:46
816,2066,M,1:37:47
817,8048,M,1:37:47
818,2841,W,1:37:47
819,6244,M,1:37:47
820,8032,M,1:37:48
821,3560,M,1:37:48
822,8980,W,1:37:48
823,647,M,1:37:48
824,6529,M,1:37:48
825,6441,M,1:37:49
826,6378,M,1:37:50
827,9197,M,1:37:50
828,831,M,1:37:51
829,2418,W,1:37:52
830,9279,M,1:37:53
831,7722,M,1:37:54
832,6933,W,1:37:55
833,4498,W,1:37:57
834,814,M,1:37:57
835,8471,W,1:37:58
836,4342,W,1:37:58
837,8037,M,1:37:58
838,5149,M,1:37:59
839,6103,M,1:37:59
840,7904,M,1:38:00
841,4571,M,1:38:01
842,8027,W,1:38:02
843,8507,M,1:38:02
844,3023,M,1:38:02
845,9284,W,1:38:02
846,928,M,1:38:03
847,6659,M,1:38:04
848,5053,M,1:38:05
849,7237,M,1:38:07
850,7663,M,1:38:07
851,4375,M,1:38:07
852,2958,M,1:38:09
853,6753,M,1:38:09
854,1693,M,1:38:09
855,6986,M,1:38:11
856,9165,M,1:38:12
857,7833,M,1:38:13
858,6258,M,1:38:13
859,5925,W,1:38:13
860,8929,M,1:38:13
861,3989,M,1:38:14
862,7026,M,1:38:14
863,8512,M,1:38:14
864,1808,M,1:38:14
865,8930,M,1:38:14
866,1505,M,1:38:16
867,7316,W,1:38:16
868,3554,M,1:38:17
869,8645,M,1:38:18
870,7435,M,1:38:18
871,2395,M,1:38:19
872,7013,M,1:38:19
873,1598,W,1:38:19
874,898,M,1:38:20
875,8564,M,1:38:21
876,6535,M,1:38:22
877,7062,M,1:38:22
878,6415,M,1:38:22
879,9266,M,1:38:22
880,4732,M,1:38:22
881,7779,M,1:38:22
882,8426,M,1:38:25
883,613,M,1:38:28
884,4176,M,1:38:29
885,561,M,1:38:30
886,7745,M,1:38:31
887,5169,M,1:38:32
888,5804,M,1:38:32
889,706,M,1:38:33
890,8498,W,1:38:33
891,8091,W,1:38:33
892,6037,M,1:38:34
893,3730,M,1:38:34
894,3644,W,1:38:34
895,2016,M,1:38:35
896,1142,M,1:38:35
897,4326,M,1:38:35
898,1512,M,1:38:37
899,3614,M,1:38:38
900,1809,M,1:38:39
901,6205,M,1:38:39
902,5561,M,1:38:40
903,3768,M,1:38:41
904,5722,M,1:38:42
905,6839,W,1:38:43
906,5810,M,1:38:43
907,5252,M,1:38:44
908,4928,M,1:38:44
909,2036,M,1:38:45
910,6214,M,1:38:45
911,2119,W,1:38:45
912,1108,W,1:38:46
913,4609,M,1:38:48
914,8026,M,1:38:48
915,3957,M,1:38:49
916,6717,M,1:38:50
917,2151,M,1:38:50
918,7725,M,1:38:51
919,3983,W,1:38:51
920,7586,W,1:38:52
921,2150,M,1:38:52
922,3837,M,1:38:53
923,964,M,1:38:53
924,2823,M,1:38:53
925,6559,M,1:38:54
926,2964,M,1:38:54
927,8880,M,1:38:54
928,1093,M,1:38:55
929,7381,M,1:38:55
930,5362,M,1:38:55
931,3758,W,1:38:55
932,9386,M,1:38:55
933,7050,M,1:38:56
934,1235,M,1:38:57
935,6306,M,1:38:58
936,2030,M,1:38:58
937,6895,M,1:38:58
938,2746,M,1:38:59
939,2826,M,1:38:59
940,6031,M,1:38:59
941,9130,M,1:39:00
942,7941,M,1:39:00
943,994,M,1:39:02
944,6041,M,1:39:03
945,7276,M,1:39:03
946,5098,M,1:39:04
947,6455,M,1:39:04
948,6918,W,1:39:04
949,7727,M,1:39:04
950,891,M,1:39:05
951,8691,M,1:39:05
952,8029,M,1:39:06
953,9440,M,1:39:06
954,1026,M,1:39:06
955,7030,M,1:39:06
956,9441,M,1:39:07
957,8848,M,1:39:08
958,707,M,1:39:08
959,9306,M,1:39:08
960,2920,M,1:39:08
961,5710,M,1:39:09
962,2057,M,1:39:09
963,9308,M,1:39:09
964,6680,M,1:39:11
965,5535,M,1:39:11
966,8859,M,1:39:13
967,8201,M,1:39:13
968,4675,M,1:39:14
969,9335,M,1:39:16
970,4890,M,1:39:17
971,2321,M,1:39:17
972,9110,W,1:39:19
973,8168,M,1:39:19
974,9325,W,1:39:20
975,7909,M,1:39:20
976,3307,M,1:39:20
977,8687,M,1:39:21
978,9354,W,1:39:22
979,7301,M,1:39:22
980,7634,W,1:39:23
981,4926,M,1:39:23
982,8071,M,1:39:23
983,8074,M,1:39:24
984,2420,M,1:39:24
985,2419,M,1:39:25
986,5311,M,1:39:25
987,3765,M,1:39:26
988,2604,M,1:39:26
989,1903,M,1:39:26
990,2860,W,1:39:26
991,7339,W,1:39:27
992,6003,M,1:39:27
993,7074,W,1:39:27
994,6194,M,1:39:29
995,3447,M,1:39:29
996,7346,W,1:39:30
997,665,M,1:39:31
998,7357,M,1:39:32
999,2886,M,1:39:33
1000,4990,W,1:39:35
1001,8384,M,1:39:36
1002,4488,M,1:39:38
1003,8969,M,1:39:39
1004,3348,M,1:39:40
1005,8042,W,1:39:41
1006,7445,M,1:39:41
1007,6528,M,1:39:42
1008,6235,M,1:39:42
1009,8682,M,1:39:43
1010,661,M,1:39:43
1011,3083,M,1:39:43
1012,9215,M,1:39:43
1013,4819,M,1:39:43
1014,8890,M,1:39:44
1015,8371,M,1:39:47
1016,1122,W,1:39:47
1017,6970,M,1:39:47
1018,2121,M,1:39:48
1019,2284,M,1:39:48
1020,7501,M,1:39:49
1021,1893,M,1:39:51
1022,7159,M,1:39:54
1023,1619,M,1:39:54
1024,7024,W,1:39:56
1025,7774,M,1:39:56
1026,3891,M,1:39:57
1027,8442,M,1:39:57
1028,2586,M,1:39:59
1029,3800,W,1:40:01
1030,1925,M,1:40:01
1031,5027,M,1:40:02
1032,4415,M,1:40:02
1033,2289,M,1:40:02
1034,4370,M,1:40:03
1035,5797,M,1:40:03
1036,3772,M,1:40:04
1037,6439,W,1:40:05
1038,7207,M,1:40:06
1039,5212,M,1:40:08
1040,8959,M,1:40:09
1041,5320,M,1:40:09
1042,2624,M,1:40:10
1043,3398,M,1:40:11
1044,6128,M,1:40:11
1045,8922,M,1:40:13
1046,1994,W,1:40:13
1047,4605,M,1:40:13
1048,4092,M,1:40:14
1049,8646,M,1:40:15
1050,5593,W,1:40:18
1051,1958,M,1:40:18
1052,6991,M,1:40:19
1053,4384,W,1:40:20
1054,2312,M,1:40:21
1055,8673,M,1:40:23
1056,8942,M,1:40:23
1057,6229,M,1:40:26
1058,7273,M,1:40:27
1059,5188,M,1:40:27
1060,4241,M,1:40:28
1061,8019,M,1:40:29
1062,9103,M,1:40:29
1063,8558,M,1:40:30
1064,5791,M,1:40:30
1065,727,M,1:40:30
1066,9154,W,1:40:30
1067,5770,M,1:40:31
1068,5018,M,1:40:31
1069,1810,W,1:40:31
1070,6085,M,1:40:31
1071,7272,M,1:40:31
1072,9166,M,1:40:31
1073,7936,W,1:40:31
1074,7110,M,1:40:32
